Rank,book title,book price,rating,author,year of publication,genre,url,first_name,last_name,count genre,link,book,dp,id,ref,slug
31,balloons over broadway: the true story of the puppeteer of macy's parade (bank street college of education flora stieglitz st,12.19,4.9,bill martin jr.,1967,"childrens, literature",amazon.com/balloons-over-broadway-puppeteer-education/dp/0547199457/ref=zg_bs_g_books_sccl_31/143-9831347-1043253?psc=1,bill,martin jr.,2,amazon.com,balloons-over-broadway-puppeteer-education,dp,0547199457,ref=zg_bs_g_books_sccl_31,143-9831347-1043253?psc=1
32,the four agreements: a practical guide to personal freedom (a toltec wisdom book),7.74,4.7,melissa sweet,2011,picture book,amazon.com/four-agreements-practical-personal-freedom/dp/1878424319/ref=zg_bs_g_books_sccl_32/143-9831347-1043253?psc=1,melissa,sweet,2,amazon.com,four-agreements-practical-personal-freedom,dp,1878424319,ref=zg_bs_g_books_sccl_32,143-9831347-1043253?psc=1
33,the housemaid,8.11,4.5,don miguel ruiz,1997,"spirituality, self-help, personal growth",amazon.com/housemaid-freida-mcfadden/dp/1538742578/ref=zg_bs_g_books_sccl_33/143-9831347-1043253?psc=1,don,miguel ruiz,4,amazon.com,housemaid-freida-mcfadden,dp,1538742578,ref=zg_bs_g_books_sccl_33,143-9831347-1043253?psc=1
34,how to know a person: the art of seeing others deeply and being deeply seen,19.89,4.5,alice walstead,2022,"thriller, mystery, suspense",amazon.com/how-know-person-seeing-others/dp/059323006x/ref=zg_bs_g_books_sccl_34/143-9831347-1043253?psc=1,alice,walstead,3,amazon.com,how-know-person-seeing-others,dp,059323006x,ref=zg_bs_g_books_sccl_34,143-9831347-1043253?psc=1
35,the very hungry caterpillar,5.9,4.9,david brooks,2023,nonfiction,amazon.com/very-hungry-caterpillar-eric-carle/dp/0399226907/ref=zg_bs_g_books_sccl_35/143-9831347-1043253?psc=1,david,brooks,1,amazon.com,very-hungry-caterpillar-eric-carle,dp,0399226907,ref=zg_bs_g_books_sccl_35,143-9831347-1043253?psc=1
36,how to catch a reindeer,5.99,4.8,eric carle,1969,"childrens, literature",amazon.com/how-catch-reindeer-alice-walstead/dp/1728276136/ref=zg_bs_g_books_sccl_36/143-9831347-1043253?psc=1,eric,carle,2,amazon.com,how-catch-reindeer-alice-walstead,dp,1728276136,ref=zg_bs_g_books_sccl_36,143-9831347-1043253?psc=1
37,pookie's thanksgiving (little pookie),6.99,4.9,alice walstead,2022,"childrens, literature",amazon.com/pookies-thanksgiving-little-pookie-boynton/dp/166592263x/ref=zg_bs_g_books_sccl_37/143-9831347-1043253?psc=1,alice,walstead,2,amazon.com,pookies-thanksgiving-little-pookie-boynton,dp,166592263x,ref=zg_bs_g_books_sccl_37,143-9831347-1043253?psc=1
38,"the psychology of money: timeless lessons on wealth, greed, and happiness",12.68,4.7,sandra boynton,2022,"picture books, childrens, holiday",amazon.com/psychology-money-timeless-lessons-happiness/dp/0857197681/ref=zg_bs_g_books_sccl_38/143-9831347-1043253?psc=1,sandra,boynton,4,amazon.com,psychology-money-timeless-lessons-happiness,dp,0857197681,ref=zg_bs_g_books_sccl_38,143-9831347-1043253?psc=1
39,the seven husbands of evelyn hugo: a novel,9.49,4.6,morgan housel,2020,"finance, nonfiction, psychology, business, self help, money, economics",amazon.com/seven-husbands-evelyn-hugo-novel/dp/1501161938/ref=zg_bs_g_books_sccl_39/143-9831347-1043253?psc=1,morgan,housel,8,amazon.com,seven-husbands-evelyn-hugo-novel,dp,1501161938,ref=zg_bs_g_books_sccl_39,143-9831347-1043253?psc=1
40,i love you to the moon and back,4.76,4.9,taylor jenkins reid,2017,historical fiction,amazon.com/i-love-you-moon-back/dp/1589255518/ref=zg_bs_g_books_sccl_40/143-9831347-1043253?psc=1,taylor,jenkins reid,2,amazon.com,i-love-you-moon-back,dp,1589255518,ref=zg_bs_g_books_sccl_40,143-9831347-1043253?psc=1
41,outlive: the science and art of longevity,16.99,4.7,peter attia,2023,"health, nonfiction, science, self help",amazon.com/outlive-longevity-peter-attia-md/dp/0593236599/ref=zg_bs_g_books_sccl_41/143-9831347-1043253?psc=1,peter,attia,5,amazon.com,outlive-longevity-peter-attia-md,dp,0593236599,ref=zg_bs_g_books_sccl_41,143-9831347-1043253?psc=1
42,hundred years' war on palestine,12.99,4.6,rashid khalidi,2019,"history, nonfiction, politics, war",amazon.com/hundred-years-war-palestine-colonialism/dp/1250787653/ref=zg_bs_g_books_sccl_42/143-9831347-1043253?psc=1,rashid,khalidi,4,amazon.com,hundred-years-war-palestine-colonialism,dp,1250787653,ref=zg_bs_g_books_sccl_42,143-9831347-1043253?psc=1
